n:1, states: 0.0000560.999944
n:2, states: 0.0028030.997197
n:3, states: 0.0001280.999872
n:4, states: 0.0140160.985984
n:8, states: 0.0000020.999998
n:9, states: 0.0000470.999953
n:11, states: 0.7573780.242622
n:13, states: 0.0000000.000000
n:15, states: 0.0000010.999999
n:16, states: 0.0150000.985000
n:17, states: 0.0000930.999907
n:18, states: 0.0026460.997354
n:21, states: 0.0000060.999994
n:22, states: 0.0168200.983180
n:23, states: 0.0002740.999726
n:24, states: 0.0021490.997851
n:25, states: 0.0467220.953278
n:26, states: 0.0000010.999999
n:27, states: 0.0000190.999981
n:28, states: 0.0000090.999991
n:31, states: 0.0000070.999993
n:32, states: 0.0074750.992525
n:33, states: 0.0000040.999996
n:34, states: 0.0000001.000000
n:35, states: 0.0003740.999626
n:36, states: 0.0000560.999944
n:37, states: 0.0000050.999995
n:38, states: 0.0350410.964959
n:40, states: 0.0000470.999953
n:41, states: 0.0000290.999971
n:42, states: 0.0000010.999999
n:44, states: 0.0012150.998785
n:45, states: 0.0000001.000000
n:47, states: 0.0000560.999944
n:48, states: 0.0017240.998276
n:49, states: 0.0000001.000000
n:50, states: 0.0000001.000000
n:51, states: 0.0000001.000000
n:52, states: 0.0233610.976639
n:53, states: 0.0025840.997416
n:54, states: 0.0001000.999900
n:55, states: 0.0000001.000000
n:57, states: 0.0000001.000000
n:58, states: 0.0000010.999999
n:59, states: 0.0000001.000000
n:60, states: 0.0006000.999400
n:62, states: 0.0002110.999789
n:63, states: 0.0000420.999958
n:64, states: 0.0000410.999959
n:65, states: 0.0000010.999999
n:66, states: 0.0009290.999071
n:68, states: 0.0017750.998225
n:69, states: 0.0002340.999766
n:72, states: 0.0000001.000000
n:73, states: 0.0000001.000000
n:75, states: 0.0233610.976639
n:76, states: 0.0011680.998832
n:77, states: 0.0000001.000000
n:78, states: 0.0000001.000000
n:79, states: 0.0000100.999990
n:80, states: 0.0000190.999981
n:81, states: 0.0000100.999990
n:82, states: 0.0000770.999923
n:84, states: 0.0002580.999742
n:85, states: 0.0002370.999763
n:86, states: 0.0000680.999932
n:87, states: 0.0000010.999999
n:88, states: 0.0000001.000000
n:89, states: 0.0001000.999900
n:90, states: 0.0000001.000000
n:91, states: 0.0002340.999766
n:93, states: 0.0001840.999816
n:94, states: 0.0002800.999720
n:95, states: 0.0001140.999886
n:96, states: 0.0000550.999945
n:97, states: 0.0000020.999998
n:98, states: 0.0013930.998607
n:100, states: 0.0350410.964959
n:101, states: 0.0000030.999997
n:102, states: 0.0000140.999986
n:103, states: 0.0003270.999673
n:105, states: 0.0000070.999993
n:106, states: 0.0584020.941598
n:107, states: 0.0009340.999066
n:108, states: 0.7749210.225079
